"rank","name","amount"
"1","Zemědělské družstvo Unčovice","1055988"
"2","Zemědělsko-obchodní družstvo Žichlínek","764652"
"3","ZOD Haná, družstvo se sídlem ve Švábenicích","650077"
"4","ZEM, a.s.","582413"
"5","ZOD Haná, družstvo se sídlem ve Švábenicích","540140"
"6","ZOS Kačina, a.s.","530794"
"7","Zemědělsko obchodní družstvo Zálší","497607"
"8","ZOS Kačina, a.s.","462979"
"9","Zemědělské obchodní družstvo Vilémov","457836"
"10","Žerotín, a.s.","431159"
"11","Zemědělské obchodní družstvo Blata","427723"
"12","Zemědělské obchodní družstvo Kámen","407320"
"13","Zemìdìlské družstvo Vlèák Èernošín","401315"
"14","ZVOZD Horácko, družstvo","399339"
"15","Zemìdìlské obchodní družstvo Zálabí","396975"
"16","Zemědělské družstvo Vysočina Želiv","373068"
"17","Zemìdìlský podnik Kvasicko, a.s.","361122"
"18","Zemědělsko-obchodní družstvo Žichlínek","357579"
"19","1. jihočeská zemědělská a.s.","357453"
"20","Zemìdìlské obchodní družstvo Potìhy","356289"
